model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse
Transformer,6,1,FALSE,FALSE,FALSE,19.62146568,22.71725917,2.82186246,3.26342594,4.42961216,4.7662626,0.24098493,0.30418733,0.02974865,-0.1141709,0.11219484,0.98501343
Transformer,6,12,FALSE,FALSE,FALSE,19.00484085,30.2251693,2.81188154,3.95064699,4.35945415,5.4977422,0.24512479,0.39707129,0.06146113,-0.4877434,0.11020075,0.96879023
Transformer,6,24,FALSE,FALSE,FALSE,17.95680618,36.21624823,2.78199387,4.49454182,4.2375474,6.0179937,0.25878492,0.47761096,0.04682445,-0.78943637,0.11343338,0.97642976
Transformer,6,96,FALSE,FALSE,FALSE,28.59786224,40.52538905,3.80185318,4.88667086,5.34769678,6.36595547,0.38087487,0.54471183,-0.47826724,-1.06461054,0.20296259,1.21610391
Transformer,6,192,FALSE,FALSE,FALSE,44.08586121,42.26388754,4.85290241,5.04681375,6.63971853,6.50106818,0.50484085,0.57399499,-1.45769798,-1.29958871,0.34924728,1.56786358
Transformer,6,336,FALSE,FALSE,FALSE,28.29171944,42.58745289,3.92422175,5.21056669,5.31899595,6.52590629,0.42900282,0.62250737,-0.89910386,-1.5977062,0.24703585,1.38089204
Transformer,6,720,FALSE,FALSE,FALSE,28.48932076,42.35727723,4.11467171,5.43351554,5.33753872,6.50824686,0.4859153,0.69699783,-1.46422753,-2.26485984,0.29778999,1.54458141
Transformer,12,1,FALSE,FALSE,FALSE,20.92814636,22.30022835,2.94844151,3.24987702,4.57472897,4.72231176,0.25276685,0.30796756,-0.03349749,-0.09507607,0.12183862,1.01661086
Transformer,12,12,FALSE,FALSE,FALSE,18.80179977,24.92671737,2.79494381,3.45528276,4.33610439,4.99266636,0.242796,0.33150226,0.0730678,-0.22830085,0.10844261,0.962767
Transformer,12,24,FALSE,FALSE,FALSE,18.30073738,27.07595306,2.80660605,3.71479464,4.27793598,5.20345588,0.25986159,0.37804118,0.0346128,-0.33925669,0.11545803,0.98262465
Transformer,12,96,FALSE,FALSE,FALSE,26.31412125,44.31974373,3.60941005,5.18576481,5.12972927,6.65730754,0.35402051,0.58955644,-0.35541661,-1.26036707,0.1806839,1.16419411
Transformer,12,192,FALSE,FALSE,FALSE,41.14213943,42.65824409,4.65417719,5.06080066,6.41421366,6.5313279,0.47767362,0.57273794,-1.27128642,-1.32381423,0.31728932,1.50947857
Transformer,12,336,FALSE,FALSE,FALSE,29.89975357,42.82127642,4.09275246,5.22296104,5.46806669,6.54379679,0.4537687,0.62249227,-1.00035504,-1.61566158,0.26543561,1.41387379
Transformer,12,720,FALSE,FALSE,FALSE,30.31987381,42.14101613,4.30010414,5.4095626,5.50634861,6.49161121,0.51214767,0.69100811,-1.62547048,-2.25298153,0.32001048,1.58865297
Transformer,24,1,FALSE,FALSE,FALSE,20.12949181,18.79779439,2.88948703,2.96074845,4.48659039,4.33564233,0.24624853,0.28094712,0.00944866,0.07498008,0.11561228,0.99526447
Transformer,24,12,FALSE,FALSE,FALSE,17.16563797,25.97762788,2.63986516,3.5395071,4.14314365,5.09682527,0.23511213,0.34089242,0.09981674,-0.28276844,0.10287311,0.94877684
Transformer,24,24,FALSE,FALSE,FALSE,17.75223923,27.10831158,2.72993708,3.72924151,4.21334076,5.20656428,0.24868853,0.38088407,0.07212628,-0.34365271,0.10791226,0.96328658
Transformer,24,96,FALSE,FALSE,FALSE,30.8769455,46.52951037,3.9119966,5.41526355,5.55670261,6.82125431,0.38219526,0.63295428,-0.57904177,-1.37826624,0.212394,1.25671065
