lookback,future,pos,val,temp,mse_Auto,mae_Auto,rmse_Auto,mape_Auto,mspe_Auto,rse_Auto,R2_Auto,mse_Inf,mae_Inf,rmse_Inf,mape_Inf,mspe_Inf,rse_Inf,R2_Inf,mse_Tra,mae_Tra,rmse_Tra,mape_Tra,mspe,rse,R2_Tra,mse_LSTM,mae_LSTM,rmse_LSTM,mape_LSTM,R2_LSTM,data_type
6,1,False,False,False,0.00081018,0.01972442,0.0284636,0.00821181,0.00014298,0.05650679,0.99680698,0.00351497,0.04337767,0.05928722,0.01687283,0.00050234,0.11769878,0.986147,0.00209127,0.03236232,0.04573038,0.01236921,0.00027614,0.09078533,0.99175803,0.00821274,0.07146617,0.09062414,0.0295617,0.96756802,original
6,12,False,False,False,0.00413905,0.04223951,0.06433549,0.01758425,0.00072984,0.12840541,0.98345909,0.00693872,0.0599743,0.083299,0.02448106,0.00115531,0.16625418,0.97230545,0.00883138,0.07136741,0.09397542,0.02918418,0.00146714,0.18756296,0.96475417,0.01330631,0.0866018,0.11535299,0.03528769,0.94691665,original
6,24,False,False,False,0.0089,0.06352304,0.09433982,0.02662586,0.0015798,0.18936658,0.96389093,0.01071597,0.07283691,0.10351796,0.02978842,0.00177278,0.20778972,0.9565947,0.01137177,0.07920066,0.1066385,0.0330294,0.00201652,0.21405351,0.95392728,0.10846459,0.29058859,0.32933962,0.12815917,0.56254196,original
6,96,False,False,False,0.02968936,0.12339059,0.172306,0.05173705,0.00540197,0.3585481,0.86645333,0.04601318,0.1600838,0.21450682,0.06803161,0.00878966,0.44636294,0.79389848,0.03495125,0.14177191,0.18695253,0.05957237,0.00644505,0.38902578,0.84387197,0.54684619,0.68088987,0.7394905,0.30772866,-1.37825517,original
6,192,False,False,False,0.05528366,0.17536588,0.23512477,0.07424111,0.01037846,0.5103665,0.72043368,0.08828916,0.23052412,0.29713491,0.09982596,0.01785806,0.6449669,0.55330354,0.06491746,0.20191738,0.25478905,0.08672272,0.012703,0.55305016,0.67627169,0.73836884,0.79063663,0.85928391,0.35940881,-2.49856825,original
6,336,False,False,False,0.1107698,0.26184613,0.33282098,0.1119898,0.020949,0.76018786,0.34873747,0.21355662,0.38633764,0.46212187,0.17166252,0.04559609,1.05552077,-0.23768498,0.18884191,0.36086097,0.43455943,0.15900356,0.03891529,0.99256611,-0.10468555,0.60877303,0.71765504,0.78023909,0.32574397,-2.18853436,original
6,720,False,False,False,0.17539799,0.32798135,0.41880542,0.14069024,0.03287861,1.06299794,-0.59591173,0.47664073,0.57327104,0.69039172,0.25671384,0.10240244,1.75232923,-3.6309295,0.42920962,0.56443852,0.65514094,0.25235778,0.09224711,1.66285682,-2.96793433,0.79803805,0.83524094,0.89332975,0.37910322,-4.17764338,original
12,1,False,False,False,0.00094451,0.02253848,0.03073295,0.00937509,0.00016498,0.06137168,0.99623352,0.00367466,0.0450296,0.06061893,0.01769622,0.00053738,0.12105201,0.98534641,0.00268426,0.03840061,0.05180987,0.01480852,0.00036327,0.10346089,0.98929584,0.13051149,0.3099002,0.36126374,0.13297003,0.478729,original
12,12,False,False,False,0.00422715,0.04308645,0.06501655,0.01795439,0.00074609,0.13050406,0.98291872,0.01081382,0.0787996,0.10398953,0.03185588,0.00172594,0.20873231,0.95638999,0.00611132,0.05561228,0.07817495,0.02296362,0.001039,0.15691614,0.97531229,0.02475459,0.12993193,0.15733591,0.05685505,0.90014475,original
12,24,False,False,False,0.00839751,0.06081393,0.09163795,0.02541552,0.00147461,0.18501452,0.96553478,0.01169752,0.07646421,0.10815506,0.03152286,0.00198721,0.21836208,0.95207149,0.01207986,0.08306322,0.10990841,0.03454133,0.00211911,0.22190206,0.95053191,0.52218193,0.66219442,0.72262156,0.29831083,-1.13014352,original
12,96,False,False,False,0.02949465,0.12347506,0.17174006,0.05183031,0.00536839,0.35983616,0.8655387,0.03867352,0.14415702,0.19665585,0.06091035,0.00721559,0.41204071,0.8238137,0.03837706,0.14938009,0.19590063,0.06332802,0.00722599,0.41045833,0.82623747,0.70754391,0.77316769,0.84115629,0.35087037,-2.11824596,original
12,192,False,False,False,0.05377949,0.17329556,0.23190404,0.0733663,0.010062,0.50638938,0.72520355,0.11153048,0.25488019,0.33396178,0.11007848,0.02215103,0.72924423,0.42691162,0.10223003,0.26018733,0.31973431,0.11389805,0.02106748,0.69817686,0.48828022,0.84005547,0.84182564,0.9165454,0.38323533,-3.02597828,original
12,336,False,False,False,0.09144728,0.23531991,0.30240253,0.10051979,0.01717677,0.69471234,0.45342612,0.24117231,0.3962957,0.49109298,0.17283095,0.04864066,1.1281929,-0.42729713,0.13563387,0.29958913,0.36828503,0.13045819,0.02678367,0.84606498,0.20503578,0.59496045,0.70571524,0.77133679,0.31845915,-2.15056404,original
12,720,False,False,False,0.19828442,0.3475866,0.44529137,0.15028514,0.03819871,1.13651133,-0.82364719,0.38116822,0.50960773,0.61738825,0.22662303,0.08020779,1.57575178,-2.58905565,0.36166376,0.5132556,0.60138488,0.2284725,0.07636014,1.53490651,-2.34184081,1.05419558,0.96276798,1.02674027,0.43843761,-5.90882885,original
24,1,False,False,False,0.01410898,0.0388315,0.11878121,0.01569414,0.00206621,0.23994701,0.94242544,0.00368743,0.04453931,0.06072419,0.01777509,0.00055128,0.12266745,0.9849527,0.00201018,0.0313358,0.04483508,0.01201121,0.00026928,0.09057025,0.99179703,0.18696228,0.3787292,0.43239135,0.16568193,0.23621198,original
24,12,False,False,False,0.00512329,0.04925564,0.07157718,0.0205646,0.00090931,0.14537174,0.9788116,0.01138929,0.08221716,0.1067206,0.03343358,0.00185168,0.21674728,0.95296993,0.00566288,0.05298471,0.07525211,0.02172371,0.00094821,0.15283544,0.97657995,0.03149734,0.14663358,0.17747491,0.06635226,0.86997769,original
24,24,False,False,False,0.00881976,0.06333261,0.09391357,0.02646646,0.00154682,0.19190322,0.96293558,0.01245095,0.07967909,0.11158384,0.03312967,0.0021616,0.2280107,0.9477342,0.01115617,0.07839446,0.10562279,0.03285825,0.0019927,0.21582985,0.95317089,0.53074296,0.66763104,0.72852108,0.30153866,-1.2169827,original
24,96,False,False,False,0.03104413,0.12813009,0.17619343,0.05378201,0.00564689,0.37426099,0.85487812,0.03858908,0.14305778,0.19644104,0.06097355,0.00740804,0.41726992,0.81881552,0.04285376,0.15736921,0.20701151,0.06747534,0.00839658,0.43972313,0.80016495,0.6555349,0.74373896,0.8096511,0.33782471,-1.96652888,original
24,192,False,False,False,0.05468688,0.17601597,0.23385227,0.07456617,0.01019533,0.51672482,0.71496713,0.10544685,0.24953829,0.32472581,0.10795426,0.02101166,0.71752083,0.44775947,0.10655915,0.26053703,0.32643399,0.11324029,0.02162163,0.7212953,0.44616734,0.79426294,0.81863647,0.89121431,0.37292537,-2.89382124,original
24,336,False,False,False,0.0905024,0.23521292,0.30083618,0.1001594,0.01668393,0.69907212,0.44833183,0.30729297,0.46555355,0.55434012,0.20394409,0.06273928,1.28815544,-0.85806067,0.33095986,0.5043546,0.5752911,0.22176047,0.06766207,1.33684051,-0.9632756,0.79271238,0.82046635,0.89034397,0.37410929,-3.29016949,original
24,720,False,False,False,0.19804497,0.34772539,0.44502243,0.14950261,0.03731957,1.14840972,-0.84699094,0.26259929,0.4158856,0.51244444,0.18573727,0.05650829,1.32239664,-1.58037552,0.21805532,0.38820174,0.46696395,0.17266019,0.04629194,1.20503128,-1.04292502,1.02724364,0.95063233,1.01353028,0.433397,-5.86844729,original
48,1,False,False,False,0.00430223,0.04917496,0.06559138,0.02060126,0.00076057,0.13582876,0.98155055,0.00693717,0.0664587,0.08328968,0.02670556,0.00107346,0.17247896,0.97025101,0.00216967,0.03324596,0.04657976,0.01323508,0.00032561,0.09645887,0.99069569,0.18413771,0.3790108,0.42911271,0.16730661,0.20987395,original
48,12,False,False,False,0.00629302,0.05845249,0.07932853,0.02449332,0.0011234,0.16530886,0.97259273,0.01116455,0.08093961,0.10566244,0.03315871,0.00184584,0.22018482,0.95146133,0.00572871,0.05377853,0.07568822,0.02216649,0.0009747,0.15772298,0.97504542,0.00956998,0.07130326,0.09782626,0.02889363,0.95841928,original
48,24,False,False,False,0.01008371,0.07241321,0.10041767,0.03034781,0.00178801,0.2106798,0.95531059,0.01456353,0.08891438,0.12067947,0.03719343,0.00256196,0.25318977,0.93558972,0.01178877,0.08134197,0.10857609,0.03411125,0.00211915,0.22779645,0.94778325,0.3929334,0.57353869,0.626844,0.25949348,-0.7303256,original
48,96,False,False,False,0.03242866,0.13326064,0.18007958,0.05620619,0.00593003,0.39281732,0.84119276,0.04179407,0.1513755,0.20443599,0.06461691,0.00793619,0.44594726,0.79410347,0.03746112,0.14723156,0.19354877,0.06259365,0.00712644,0.42219836,0.81655518,0.61886154,0.72161694,0.78667753,0.32856813,-1.94936142,original
48,192,False,False,False,0.0595663,0.18589652,0.24406208,0.079037,0.01118654,0.55202341,0.67692286,0.12601176,0.27593639,0.35498136,0.11917263,0.02482937,0.80290246,0.31470741,0.11008719,0.26024681,0.3317939,0.11350735,0.02221834,0.75045669,0.40177001,0.74399344,0.79285466,0.86255055,0.36162912,-2.81522522,original
48,336,False,False,False,0.09816112,0.24747168,0.31330675,0.10608072,0.01848584,0.74456137,0.3790667,0.34015518,0.50365847,0.58322823,0.22023365,0.06851234,1.38601923,-1.06591002,0.28953788,0.46529627,0.53808725,0.20293015,0.05720798,1.27874351,-0.78711808,0.78214833,0.81753233,0.8843915,0.37279829,-3.41761814,original
48,720,False,False,False,0.1902182,0.34320632,0.43614012,0.14875312,0.03685483,1.15013158,-0.82628296,0.58985037,0.66667676,0.76801717,0.29904017,0.1266472,2.02531409,-4.78945823,0.4259207,0.56076354,0.65262598,0.24977997,0.09039576,1.72101963,-3.14618205,1.14633696,1.01093743,1.07067126,0.46018062,-6.97304206,original
72,1,False,False,False,0.00335604,0.04279557,0.05793133,0.01788381,0.00058336,0.12336321,0.98478152,0.00940498,0.07150517,0.09697926,0.03006808,0.00166854,0.20651475,0.95735166,0.00212685,0.03157184,0.04611783,0.01206301,0.00027047,0.09820668,0.99035545,0.1910074,0.38929649,0.43704394,0.17340988,0.13319368,original
72,12,False,False,False,0.00962056,0.0719883,0.09808446,0.03013494,0.00168765,0.21050195,0.9555685,0.00998971,0.07415368,0.09994853,0.03090021,0.00172334,0.21450245,0.95392484,0.00513394,0.05150674,0.0716515,0.02145772,0.00089544,0.1537734,0.97625014,0.00783921,0.06665373,0.08853929,0.02796367,0.96387869,original
72,24,False,False,False,0.01594249,0.09486034,0.12626357,0.04009475,0.00288735,0.27319801,0.92511045,0.01362412,0.08598501,0.11672242,0.03598367,0.00238089,0.25255367,0.93583071,0.01051544,0.07476944,0.10254483,0.03142952,0.00189971,0.22187747,0.9503747,0.45748052,0.61706175,0.67637306,0.28035841,-1.14182649,original
72,96,False,False,False,0.03247695,0.13356753,0.18021363,0.05648622,0.00595719,0.4030081,0.83380932,0.0360559,0.14270122,0.18988392,0.06035043,0.00653855,0.42463362,0.81539938,0.03715247,0.14466256,0.19274975,0.06144925,0.00706741,0.43104243,0.80887987,0.67961479,0.75693319,0.82438753,0.34549568,-2.40066438,original
72,192,False,False,False,0.06485379,0.19715102,0.25466409,0.08455031,0.01248788,0.58898896,0.63493228,0.2398396,0.42610559,0.4897342,0.18753323,0.04937424,1.13266087,-0.31717344,0.08535048,0.2333284,0.29214802,0.10138326,0.01707613,0.67568207,0.52086426,0.76056086,0.8023808,0.87210141,0.36637843,-3.07263299,original
72,336,False,False,False,0.09856413,0.25084633,0.31394923,0.10759892,0.01854355,0.75879365,0.35715618,0.31690183,0.46156836,0.56294036,0.20123917,0.0630988,1.36058795,-1.04739876,0.18979704,0.36498719,0.43565702,0.16106762,0.03880727,1.05295289,-0.21045718,0.69503172,0.7679693,0.83368562,0.3505437,-3.0897492,original
72,720,False,False,False,0.18762262,0.34284228,0.43315426,0.14873344,0.03650926,1.15695691,-0.79325671,0.39742425,0.52479565,0.63041592,0.23564386,0.08583247,1.68384373,-3.02939813,0.36524415,0.51794064,0.60435432,0.23215568,0.07852648,1.61423302,-2.58812908,1.14077406,1.00871574,1.06807025,0.45961675,-7.24144478,original
96,1,False,False,False,0.00539457,0.05385831,0.07344776,0.02267452,0.00097237,0.16152343,0.97391018,0.00806825,0.06534493,0.08982345,0.02761348,0.00145043,0.19753623,0.96097944,0.00156344,0.02900011,0.03954039,0.01152502,0.00022923,0.08695567,0.99243871,0.20125283,0.4031057,0.44861211,0.18117948,0.02667938,original
96,12,False,False,False,0.00939154,0.07146867,0.09690997,0.02993532,0.00167012,0.21408235,0.95411099,0.01230344,0.08420514,0.11092086,0.03539004,0.00218227,0.24503361,0.93986802,0.00622376,0.05741668,0.07889082,0.02404569,0.00111061,0.17427656,0.96955086,0.01904821,0.11495414,0.13801525,0.05176993,0.90697179,original
96,24,False,False,False,0.01457259,0.08858135,0.12071697,0.03730927,0.00264053,0.26805124,0.92789578,0.01492287,0.09090924,0.12215921,0.03797562,0.00259947,0.27125373,0.92618656,0.01271932,0.08472825,0.11277995,0.03642815,0.00244425,0.25042716,0.93699208,0.45328253,0.61332351,0.6732626,0.27950292,-1.23562587,original
96,96,False,False,False,0.03916655,0.15122361,0.19790542,0.06472416,0.00747886,0.45178616,0.79259263,0.03984598,0.15298593,0.19961458,0.06487951,0.0071741,0.45568788,0.78881252,0.06073062,0.19177476,0.24643585,0.08281492,0.01196769,0.56257325,0.67686686,0.64075285,0.7344479,0.8004704,0.33565198,-2.33922846,original
96,192,False,False,False,0.06565887,0.19923975,0.25623986,0.08559527,0.01254233,0.60474181,0.6177464,0.12909761,0.3017939,0.35930157,0.13345607,0.02731221,0.8479737,0.26354326,0.07742075,0.2249034,0.27824584,0.09846245,0.01585077,0.65667725,0.5498648,0.68390611,0.76020619,0.82698616,0.34759778,-2.80942644,original
96,336,False,False,False,0.1032085,0.25630721,0.32126078,0.10996325,0.01926785,0.79280818,0.29981448,0.32843506,0.46597016,0.57309252,0.20413278,0.06590953,1.41427922,-1.24846315,0.26106098,0.43850833,0.51094127,0.19590703,0.05554501,1.26090217,-0.74642955,0.77173339,0.81172538,0.87848358,0.3712093,-3.7218831,original
96,720,False,False,False,0.18703562,0.34249792,0.43247616,0.14918464,0.03698887,1.17861998,-0.86735602,0.68903774,0.72983009,0.83008295,0.32576755,0.14532912,2.26221108,-6.00250711,0.21449359,0.39064088,0.46313453,0.17491594,0.04658159,1.26217282,-1.11219759,0.78819093,0.82719859,0.88780117,0.37858011,-4.90231882,original
